name,loocv_rmse,loocv_r2,loocv_mae,loocv_spearman,train_rmse,train_r2
Ridge (alpha=1),2.1581940810386793,0.9685863242382216,1.6818016311538866,0.9580419580419581,0.6576579798485117,0.9970829897796477
Ridge (alpha=10),1.8075781797426833,0.9779640416551768,1.5241230087650361,0.9580419580419581,0.8070926996245223,0.9956067633236092
Lasso (alpha=0.1),1.658701238751953,0.9814444385115784,1.414747375437856,0.9370629370629372,0.6481907895108473,0.997166367833775
ElasticNet,1.5971952889577186,0.9827950345967417,1.296960105601147,0.9580419580419581,0.6704168923648647,0.996968708792814
Ridge+Top10,1.3393880691457283,0.9879009682976571,1.0596429484298546,0.9580419580419581,0.7671944015744241,0.9960303829471795
XGBoost,5.00626971446224,0.8309690431613771,3.64914150238037,0.8811188811188813,1.0010911827544147,0.9932409597115699
